"Pollutant","Aggregation level","State","County","Unit of measure","January","February","March","April","May","June","July","August","September","October","November","December"
"NH3","State","KY","","percent","-0.04387724409339548","-0.050039863289958374","-0.04598067158714498","-0.038943009322951465","-0.04325823861898993","-0.06278039938802557","-0.061673357028818834","-0.06823267386232815","-0.0630025245317331","-0.049787414283923734","-0.022081163088595927","-0.029155784579739035"
"SO2","State","MD","","emissions (pounds)","-524.1169653045945","-610.1147822425701","-473.69415652763564","-253.79426977568073","-621.9531203114893","-755.2017901251093","-1243.3262278879993","-840.0639011303429","-889.2985319516156","-280.43111066520214","-365.8188608853379","-336.2232137414394"
"NOX","State","MD","","emissions (pounds)","-302.1463158573024","-346.55185565690044","-278.11928452923894","-152.54610145639163","-287.9785713966703","-361.8662222784478","-683.9296274462249","-481.2025914534461","-398.82258754002396","-218.64340659521986","-190.36867180728586","-184.9043910226319"
"CO2","State","MD","","emissions (tons)","-336.95598959131166","-398.0168262368534","-377.0887225740589","-329.80041143717244","-463.17460158490576","-498.81586821516976","-738.3175229111221","-604.1938791442662","-535.1418075398542","-310.5931887309998","-262.54700137954205","-254.07306549861096"
"PM25","State","MD","","emissions (pounds)","-28.303915279873763","-31.611932103565778","-32.4740504288784","-29.069981026194","-38.87471961307165","-42.95109356252942","-67.09723257017322","-52.36431388190249","-44.631157690120745","-28.773057625090587","-23.970769776249654","-21.968143972175312"
"VOCS","State","MD","","emissions (pounds)","-13.309694621937524","-16.537179187427682","-23.766487941727974","-18.234214016323676","-24.54796016556429","-22.597958931233734","-28.38034097655327","-25.99210067043896","-20.194431302188605","-21.013028719891736","-16.88700321448414","-14.57576426507876"
"NH3","State","MD","","emissions (pounds)","-8.992064211073739","-9.156494669347012","-13.420760893845","-16.54925345434458","-14.580902866488032","-14.428230252124195","-23.256089868256822","-20.584714369892026","-12.612582334324543","-14.838051818936947","-9.961164481908781","-8.94916939882387"
"SO2","State","MD","","percent","-0.043292935979434045","-0.07470205919252053","-0.062172335168285985","-0.07254486974362968","-0.12201136463244318","-0.07944790342512885","-0.05532753548931076","-0.05055201294780652","-0.08128533045277364","-0.05320878479967392","-0.06129278667453769","-0.04518527357690325"
"NOX","State","MD","","percent","-0.036693519099333216","-0.058968401296283904","-0.05026716673622849","-0.05100715827095427","-0.08365294569298218","-0.06562813406011812","-0.05797792381875777","-0.054096045409182135","-0.06439297314224496","-0.05367780754677254","-0.04154174138675939","-0.03364565294238614"
"CO2","State","MD","","percent","-0.024703368282272802","-0.036966256722302714","-0.035538932468710045","-0.04800169854621943","-0.05518521906087377","-0.043844939590360614","-0.037108425630331045","-0.03715127066686071","-0.04290704863397627","-0.03674021199406201","-0.0280426237041385","-0.023907355139561562"
