"Pollutant","Aggregation level","State","County","Unit of measure","January","February","March","April","May","June","July","August","September","October","November","December"
"PM25","County","NC","Richmond County","emissions (pounds)","-21.064365714308224","-33.881794275072025","-50.0109369098318","-47.74557639926934","-39.03225290808041","-59.43427071267797","-100.16398926502734","-86.49161568644195","-64.1429324570272","-44.21000564350834","-33.55509008652734","-24.337938314984058"
"VOCS","County","NC","Richmond County","emissions (pounds)","-13.821228299229915","-25.96603153623255","-28.860790778639057","-29.390453245207027","-48.69928977154268","-78.82729629620735","-162.97996673956368","-147.17559207833256","-89.41536740465017","-42.54995558722294","-20.791327293429276","-9.98019718505384"
"NH3","County","NC","Richmond County","emissions (pounds)","-18.536126057442743","-28.203332467041037","-43.693232954530686","-40.75231376643569","-23.4964024574183","-36.277465875955386","-50.582792226159654","-41.73769034836005","-37.45260100323139","-32.57786804434727","-30.877508741588827","-20.178318449565268"
"SO2","County","NC","Richmond County","percent","-0.047965228533482986","-0.08747095752471803","-0.138357554896094","-0.15714617026597666","-0.07292934598546438","-0.11257774311370528","-0.11935984369391761","-0.09581998254852718","-0.110762410307948","-0.09520259027478879","-0.0880369059666967","-0.06421519872028253"
"NOX","County","NC","Richmond County","percent","-0.08096448538704841","-0.1452184577742122","-0.2070764134594228","-0.27822122068809757","-0.13949927735535161","-0.2277307547422279","-0.22423055212080287","-0.20233347724977652","-0.20492487064538242","-0.16561719060336244","-0.15265497964310001","-0.08036330562203826"
"CO2","County","NC","Richmond County","percent","-0.054848942407604316","-0.0963781984993913","-0.1485396129182404","-0.16052061717693333","-0.08214732145971124","-0.11305774081614064","-0.11552119475679046","-0.09541711187079065","-0.10646103034648989","-0.10490202449504561","-0.08909322582884985","-0.07612997657708723"
"PM25","County","NC","Richmond County","percent","-0.05919740207373629","-0.11573756569305187","-0.16248353849142766","-0.18031160701289134","-0.12036331421315664","-0.17392324137068857","-0.19863638475609274","-0.17539875908590635","-0.16624906162897957","-0.13432187902130158","-0.09706490060152428","-0.07726615268804893"
"VOCS","County","NC","Richmond County","percent","-0.08519259762484098","-0.23106646377782608","-0.2481051282408085","-0.31026135379365083","-0.28501983144716847","-0.40693380719141437","-0.3841292771644257","-0.35695235442970996","-0.35102351677220417","-0.28300050866155474","-0.1355970419408015","-0.08128285323746659"
"NH3","County","NC","Richmond County","percent","-0.06656169630879467","-0.12135675081779594","-0.1803014402511963","-0.19721544287845338","-0.09673205792881742","-0.1419517637981267","-0.14534668146541052","-0.12273721516683551","-0.13292176560194463","-0.12854493446251827","-0.11338556381991269","-0.08092682060920368"
"SO2","County","NC","Rockingham County","emissions (pounds)","-1.59992584400743","-1.7945946662575807","-1.5818673700889576","-2.25782457416085","-1.7802308828431705","-2.1018672569143746","-3.919549260043368","-3.428450463956324","-2.5419343397111334","-2.409643698297259","-1.5647351278951191","-1.020258280709868"
"NOX","County","NC","Rockingham County","emissions (pounds)","-114.98350133227359","-123.39518759284692","-111.29152057549072","-143.78630222998618","-101.46179375983775","-137.10139671301295","-290.25951405474916","-246.7985468024417","-182.1937615001225","-153.97753973036015","-109.11307097684767","-58.65834410196112"
"CO2","County","NC","Rockingham County","emissions (tons)","-172.4260047924181","-205.4776924328471","-175.0000955555588","-254.43557413233793","-195.19303505503922","-226.4618643068825","-400.30684432171984","-341.714001140499","-271.1970867132477","-248.46033494989388","-159.27673745559878","-115.63900340592954"
"PM25","County","NC","Rockingham County","emissions (pounds)","-33.39161244688148","-40.51323744714318","-34.424532750286744","-55.93092868234089","-44.142734021319484","-43.980301373616385","-62.79073146163137","-54.35540001044865","-48.093045529938536","-49.24115244740824","-29.448552287809434","-29.60826738922333"
"VOCS","County","NC","Rockingham County","emissions (pounds)","-25.21506544272779","-29.4548772873477","-25.316718779236908","-32.674383665562345","-24.59032534567814","-32.848488232062664","-68.78248442372933","-58.2291731637124","-42.51372579475719","-35.49011164020885","-23.972754837173852","-12.192093357794874"
"NH3","County","NC","Rockingham County","emissions (pounds)","-17.992351463304658","-21.34858298153813","-18.270707953199235","-25.84055430853914","-19.726608935488912","-23.649469754000165","-43.54832405795969","-37.126456825793866","-28.84965145343085","-25.798725267803093","-16.812502937766112","-11.345515585915564"
"SO2","County","NC","Rockingham County","percent","-0.08548623735372368","-0.1210516354887675","-0.0993633462797354","-0.16070126217364047","-0.10236686002861856","-0.11431191392962403","-0.1523522547939457","-0.13556004056444784","-0.12328663685996824","-0.14201840066910668","-0.08750913442031956","-0.061423863755220645"
"NOX","County","NC","Rockingham County","percent","-0.14213712917696275","-0.2043723340074997","-0.17416720676089176","-0.2670693083239674","-0.14178585095395008","-0.17502045096116114","-0.22974299541390436","-0.19986749933819628","-0.1970440057745478","-0.21700326449863808","-0.1413333586773978","-0.08587643513474916"
"CO2","County","NC","Rockingham County","percent","-0.08693929522203336","-0.13076111799001713","-0.1037748999865321","-0.17166488516164705","-0.10187918471289399","-0.11175208471034988","-0.14253979995656657","-0.1238087531114212","-0.11959966950671853","-0.13885587174508993","-0.08393406879676088","-0.06555709563664532"
