"Pollutant","Aggregation level","State","County","Unit of measure","January","February","March","April","May","June","July","August","September","October","November","December"
"VOCS","County","FL","Citrus County","emissions (pounds)","-9.674020314938389","-6.838359642604701","-7.141550438345803","-5.643349610096266","-4.595750156586291","-4.476088094312217","-4.468473534097939","-5.10015731792555","-3.312870820534954","-3.213908503037601","-4.631568598017111","-5.923752305152448"
"NH3","County","FL","Citrus County","emissions (pounds)","-15.893400263565127","-10.743561336970743","-10.960916342046403","-8.211767414675705","-6.374323046737118","-6.29238687277757","-6.252008319464949","-7.439152335857216","-4.5839483705676685","-4.111216251621954","-6.857685336475697","-9.240194915164466"
"SO2","County","FL","Citrus County","percent","-0.08312335872259988","-0.15394709824073005","-0.17382295620856275","-0.1506456433055618","-0.09842872976180649","-0.0808987993943483","-0.0808708068695703","-0.07721296651204589","-0.06815132371922228","-0.10423638628615345","-0.1340153310201775","-0.15178911077382268"
"NOX","County","FL","Citrus County","percent","-0.061461763228490035","-0.055250558716164036","-0.06670443482071113","-0.06402942489289641","-0.04134032304937998","-0.037998128389763325","-0.038230073598241134","-0.03931489987451806","-0.030686023424839802","-0.04274166852923805","-0.048734246908615934","-0.04391020818582002"
"CO2","County","FL","Citrus County","percent","-0.07171149217732614","-0.08132624999801387","-0.08634754854646434","-0.08071784151065131","-0.061491620973474485","-0.055523189067388526","-0.055027084145401105","-0.053879130782404916","-0.044594599690217965","-0.05491224582484932","-0.06740427384343786","-0.06921410633615808"
"PM25","County","FL","Citrus County","percent","-0.06604570746830488","-0.09281306609677503","-0.10449527450333033","-0.09918850239836212","-0.07549753786857152","-0.06697906776991656","-0.0667605641241049","-0.06322400438803724","-0.054365408314080585","-0.07037225226529914","-0.08356014692034762","-0.08168165780492471"
"VOCS","County","FL","Citrus County","percent","-0.08085650742700137","-0.0617798580150998","-0.05708311342778923","-0.044057036774587034","-0.03130434311842854","-0.0299969889166091","-0.029132854578639414","-0.03313985078111431","-0.022236884018958195","-0.021520371486324835","-0.03833880926488237","-0.04867208052187851"
"NH3","County","FL","Citrus County","percent","-0.0818335867109963","-0.05979527951740306","-0.053971539439673366","-0.03982807022063305","-0.027281385664489705","-0.026552246074632902","-0.025665360650126173","-0.030421213773063206","-0.019370305299072327","-0.017259745186362786","-0.035104201716987735","-0.04664673382705401"
"SO2","County","FL","Duval County","emissions (pounds)","-61.643498026998714","-214.89496730727842","-245.17714654485462","-161.61720847256947","-81.16662794846343","-65.08300938393222","-90.2481764354161","-136.1404858127935","-107.78688831982436","-147.42510786553612","-101.88463117793435","-149.8028807308874"
"NOX","County","FL","Duval County","emissions (pounds)","-267.4487356141908","-533.5830636800965","-678.2805706889485","-584.5949873453355","-570.9802905368851","-449.20652354857884","-439.5645534155192","-418.78797392884735","-478.9451931178337","-461.1235846959753","-368.94405358907534","-333.88888695283094"
"CO2","County","FL","Duval County","emissions (tons)","-136.46913143328857","-180.8802751005278","-212.7641397015541","-214.48366745229578","-356.4442257034825","-338.2561448782217","-360.25156104029156","-354.8183416397078","-337.86814800743014","-254.0115763914655","-152.43630051601212","-131.7768827205873"
"PM25","County","FL","Duval County","emissions (pounds)","-13.297667345526861","-22.239042189205065","-25.582302704133326","-17.515240928405547","-43.666492226169794","-41.43012938996253","-45.830368266266305","-48.18237383115047","-43.975218486302765","-25.317236667164252","-14.370502593621495","-18.327275219664443"
"VOCS","County","FL","Duval County","emissions (pounds)","-7.5825712451787695","-11.33865891514506","-13.708151453993196","-13.116117561654391","-16.11010988063572","-14.200384881445643","-14.468982918479014","-13.74399313561662","-13.887624824532395","-12.61597961712323","-8.846390227843585","-6.849125162580094"
"NH3","County","FL","Duval County","emissions (pounds)","-5.976853157460937","-12.975919012606028","-14.262687591106442","-16.95585708886574","-26.04274856172924","-26.526972806375852","-27.922048221233126","-24.558963703137124","-26.536419328465854","-19.54253819587393","-10.393740738798442","-7.310960703400269"
"SO2","County","FL","Duval County","percent","-0.015347841122227493","-0.05817245557671554","-0.05931008598005764","-0.03730268041097152","-0.020403363197789962","-0.016426188297628735","-0.022162817615034885","-0.033475376817049096","-0.02726442040706624","-0.02991033244514854","-0.025064683392164278","-0.037432342015906124"
"NOX","County","FL","Duval County","percent","-0.07313247775488593","-0.1524026667373845","-0.17098564203705668","-0.12102173438940043","-0.09279489319143","-0.06951427312656518","-0.06631204109296479","-0.06298964175894183","-0.07444169069386676","-0.07181781192797357","-0.09094402989381552","-0.09275827701070992"
"CO2","County","FL","Duval County","percent","-0.03332019454863453","-0.04809952828979772","-0.05079650918284682","-0.04881945719731244","-0.0661440331092402","-0.060982861980744395","-0.0631863119186007","-0.06237258131628921","-0.061083045197257504","-0.04902388957838733","-0.03676909222098724","-0.032316515954846706"
"PM25","County","FL","Duval County","percent","-0.01894062833418889","-0.034696095869007765","-0.035911405259638554","-0.024256962431773624","-0.05076663262555218","-0.04732130269597223","-0.05092872297899522","-0.05369049241431981","-0.050356949867359065","-0.03122616636015861","-0.02060589736244313","-0.02615412460189583"
"VOCS","County","FL","Duval County","percent","-0.05322700320507272","-0.08555784709856226","-0.0922669056190503","-0.07957300918059056","-0.07590288649604407","-0.06453366591932005","-0.06400887865734156","-0.060785781687031235","-0.06331645520304668","-0.0614771620976884","-0.05939390997671347","-0.04850775697885321"
"NH3","County","FL","Duval County","percent","-0.04656219327743778","-0.10711535490008589","-0.10542187633550339","-0.10718555606000613","-0.11871625624364872","-0.11317554398126559","-0.11632984965616384","-0.10316621931107527","-0.11396917393778168","-0.0940790108596988","-0.07503096812796038","-0.05752617927581517"
"SO2","County","FL","Hardee County","emissions (pounds)","24.237508206711937","-36.15095357930841","-29.454553187406418","-129.53981932622264","5.019107366695607","-8.652521531344973","-5.4064137543100514","6.093390726904545","8.170003544375504","-152.81760529827443","-86.6056110508398","-47.16796883030838"
"NOX","County","FL","Hardee County","emissions (pounds)","-32.2065437289275","-51.295639022500836","-43.97671977485879","-91.23716266946576","-169.5619740112743","-168.0600557877915","-184.58181346514903","-186.01584458511206","-169.08218863965885","-138.73926476144698","-62.74303749958926","-27.458326272753766"
"CO2","County","FL","Hardee County","emissions (tons)","-36.84654350669007","-63.54051686999446","-49.50749983562855","-115.31993910120218","-275.63473449862795","-294.97162368512363","-329.2649225357454","-319.48585520280176","-301.5442350139783","-193.94502618646948","-86.65972866586526","-33.95551692190929"
"PM25","County","FL","Hardee County","emissions (pounds)","-4.353205865132622","-7.250295205803923","-5.62059501636395","-13.13235936332785","-31.369410881339718","-33.60029905992997","-37.453868222466554","-36.327002811973216","-34.389251102846174","-22.003046195699426","-9.758073934015556","-3.84852701953605"
"VOCS","County","FL","Hardee County","emissions (pounds)","-3.9191787448908144","-5.839355864992285","-5.663454002934486","-11.403532830710901","-22.15379679315447","-21.91132135292719","-24.17104769666912","-25.880781316145658","-22.728291800154693","-17.385830408496986","-6.6554036090656155","-3.2874248421921948"
"NH3","County","FL","Hardee County","emissions (pounds)","-3.8922582977129423","-7.629657849297473","-6.193946350935221","-14.433737070513416","-28.58349231109605","-30.4027476115225","-33.84429760413332","-34.05189803436588","-30.688447302529312","-22.413032593149183","-9.012500348781941","-3.0922280087852414"
"SO2","County","FL","Hardee County","percent","0.10314148271707506","-0.1578912661003024","-0.1147224477139831","-0.30318291820058596","0.03664190843666972","-0.0717800212161968","-0.04554798686268833","0.052861151029082336","0.0674888135359117","-0.20970718929433527","-0.28478692947245005","-0.228927924983822"
"NOX","County","FL","Hardee County","percent","-0.04370122814305995","-0.07522063521827949","-0.05774075767103078","-0.10815838281824988","-0.15796748210961145","-0.14149792040246648","-0.15178390691545615","-0.15409799918306163","-0.14270563752226564","-0.12398140392993762","-0.08129839178226062","-0.03735969117767002"
"CO2","County","FL","Hardee County","percent","-0.02570379403769188","-0.04848286009070949","-0.03383074636293125","-0.07433958008361119","-0.14337019459847122","-0.1395777648904732","-0.15251821361969545","-0.14970985589767194","-0.1433595229426394","-0.10011064051221828","-0.05925440552789846","-0.023709672771606388"
"PM25","County","FL","Hardee County","percent","-0.027334157870705936","-0.0497629058473209","-0.03454842835062425","-0.07603491589524272","-0.14574940573446282","-0.14174639534522113","-0.15467752596911355","-0.1517961680434276","-0.14576951746003786","-0.10167888521164187","-0.05998465566234921","-0.024179235951946532"
"VOCS","County","FL","Hardee County","percent","-0.06672591629565426","-0.10561930250402754","-0.09151736358993925","-0.15533782817824113","-0.19844361791948786","-0.17123676517723316","-0.1845771865894123","-0.1991500400198461","-0.1777242374705123","-0.16171182709605714","-0.10352267695247896","-0.05618741127756775"
