"Pollutant","Aggregation level","State","County","Unit of measure","January","February","March","April","May","June","July","August","September","October","November","December"
"NH3","County","MI","Mason County","emissions (pounds)","0.01416321397482534","-0.12186163482056145","-0.3693566380225093","-0.07578454643589794","-0.44476692769876536","-0.24524639335868414","-0.19334305575102917","-0.19315118126451125","-0.10280929060991184","-0.3441963005088837","-0.06139182518472808","-0.15684789902843477"
"SO2","County","MI","Mason County","percent","0.006338138478877084","-0.005900238120833701","-0.010766584049219758","-0.011849498132831149","-0.018739668045696264","0.00947479761479636","0.01143225914520465","0.006116928456942095","0.009908088923240473","-0.010960275890469415","-0.007538683852605725","-0.007985697262352638"
"NOX","County","MI","Mason County","percent","-0.0002799219698102981","-0.00424129610265867","-0.005819986993531009","-0.001342779170004468","0.005940730484683911","-0.021048959562629435","-0.019673776157903194","-0.014766015814977499","-0.016094371281583204","-0.007213983481899161","0.0006219457905546459","-0.0017954590346718764"
"CO2","County","MI","Mason County","percent","0.000330066919397178","-0.002936162052093034","-0.007196074572444721","-0.0009174329751932797","-0.008904653806350186","-0.004687622801108555","-0.0036580823314278322","-0.0036597079181339793","-0.001973505874920444","-0.006413851185016562","-0.0007947652052094097","-0.0031561062539996474"
"PM25","County","MI","Mason County","percent","0.0002780073955786902","-0.002654034061615076","-0.0074634781456168675","-0.0016197222926820289","-0.008823946826762281","-0.004919596951839377","-0.0036462079289537696","-0.0036780723426516186","-0.0020688475512344673","-0.007039360417463036","-0.001292976474874331","-0.003177182885901198"
"VOCS","County","MI","Mason County","percent","0.00027800739548630444","-0.002654034061554512","-0.007463478145760252","-0.0016197222927079348","-0.0088239468268449","-0.004919596951924839","-0.0036462079288755943","-0.0036780723427319254","-0.002068847551202053","-0.007039360417524171","-0.0012929764747504203","-0.0031771828858495788"
"NH3","County","MI","Mason County","percent","0.0002780073955804047","-0.002654034061635266","-0.007463478145591768","-0.001619722292644253","-0.008823946826699307","-0.004919596952042417","-0.003646207928890837","-0.0036780723427653167","-0.0020688475511949993","-0.007039360417519707","-0.0012929764748187548","-0.00317718288585677"
"SO2","County","MI","Midland County","emissions (pounds)","-0.4648009987822661","-0.6300439794085833","-1.0519518195333148","-1.4052607433368394","-0.8482827654643188","-0.6149688961022548","-0.6326816308155685","-0.5247956812445409","-0.46340965679519286","-0.9764824530775513","-0.7336470655927769","-0.6993029441528051"
"NOX","County","MI","Midland County","emissions (pounds)","-38.91113050386775","-75.41420546034351","-123.33969269169029","-156.75825660605915","-82.79303590336349","-76.41931870498229","-43.30269879451953","-36.131849191500805","-55.68594819470309","-110.68876479868777","-89.33916989376303","-79.18133277387824"
"CO2","County","MI","Midland County","emissions (tons)","-27.58043984195683","-48.866405974375084","-80.71388860716252","-100.69783758983249","-56.66834914847277","-46.792870313161984","-44.557445604528766","-41.134129529236816","-38.44509213755373","-73.62891802884405","-54.40461230231449","-49.89883387455484"
"PM25","County","MI","Midland County","emissions (pounds)","-36.14204197312938","-61.324834867496975","-95.99373663734877","-118.79643102397677","-76.24507897830335","-56.389456109842286","-48.77750937908422","-47.19343755731825","-48.02450924820732","-88.02062270772876","-66.11317894677632","-60.303659252647776"
"VOCS","County","MI","Midland County","emissions (pounds)","-11.497172829374904","-19.508109516173135","-30.536735643268912","-37.790563003436546","-24.254355651748483","-17.938137426797766","-15.516750851616962","-15.012804898084141","-15.277137803437654","-28.00039842883416","-21.031378175961436","-19.183296827992308"
"NH3","County","MI","Midland County","emissions (pounds)","-1.7886870560614625","-3.1648584147951624","-5.233338603287848","-6.545228467020934","-3.6979968757477764","-3.0161190498438373","-2.9005233439711446","-2.6774941136536654","-2.491203813908214","-4.779339577813516","-3.549512661418703","-3.247254189558589"
"SO2","County","MI","Midland County","percent","-0.007788413555683671","-0.011946459960760252","-0.01976058956363256","-0.030421194738809467","-0.016418985220157827","-0.01120743223305951","-0.009910210448325631","-0.008558923867950072","-0.008464968587975207","-0.01982439964020416","-0.014332608532710667","-0.013499335210859012"
"NOX","County","MI","Midland County","percent","-0.0054447822172731765","-0.011854863545688488","-0.019112628323386404","-0.02783040767065139","-0.012343844569013582","-0.010787051378709958","-0.005321398687287788","-0.004608073523761128","-0.00786534173142106","-0.018523382055973408","-0.01439625708273239","-0.012592458405757382"
"CO2","County","MI","Midland County","percent","-0.006551146623862449","-0.013089485388571943","-0.021457145719351894","-0.030964889461190397","-0.0158390737481072","-0.012267742512662867","-0.009932942052052467","-0.009587029441899621","-0.01009271302440696","-0.021257992954357707","-0.01504238157596662","-0.013651424668966084"
"PM25","County","MI","Midland County","percent","-0.007802420444309056","-0.014974203307423916","-0.023523816660822726","-0.03416783636932547","-0.01960082602275422","-0.013378252009568046","-0.009721882398502925","-0.009876154966174359","-0.011400922395899349","-0.023660298118633544","-0.016861148373463607","-0.015251373054699969"
"VOCS","County","MI","Midland County","percent","-0.007802379570391719","-0.014974138100273576","-0.023523755953122633","-0.03416775356876747","-0.019600698203153185","-0.01337821845622355","-0.009721899796017638","-0.009876150144050458","-0.011400884073105418","-0.023660233635175255","-0.016861103748084753","-0.015251327861422019"
"NH3","County","MI","Midland County","percent","-0.006535186385998109","-0.01303892582604547","-0.021398558736851103","-0.030959164507672474","-0.015900449605798353","-0.012165697227189607","-0.00994914803600941","-0.009601650806308275","-0.010061617660109334","-0.021223667392566422","-0.015096157565697715","-0.013664296661152167"
"SO2","County","MI","Monroe County","emissions (pounds)","-119.87576485832687","-132.82408081600443","-134.54981962498277","-116.86028518527746","-158.43104817264248","-160.22804384923074","-179.80565143516287","-151.7482896822039","-151.26238853193354","-114.58091337268706","-70.82398669456597","-86.59606596129015"
"NOX","County","MI","Monroe County","emissions (pounds)","-127.80001585383434","-146.74928897921927","-131.60010364395566","-69.82089547335636","-162.9787678422872","-142.64279695774894","-117.17648342740722","-110.15086951479316","-141.14536059519742","-85.46116214012727","-59.63075832219329","-97.60476510890294"
"CO2","County","MI","Monroe County","emissions (tons)","-201.4678173470311","-226.44402997125871","-262.98360008280724","-236.49705453193747","-267.9029266203288","-227.39419243414886","-182.08384747616947","-175.68172027776018","-217.39085623831488","-215.40744008868933","-141.43234538380057","-175.55553756235167"
"PM25","County","MI","Monroe County","emissions (pounds)","-0.668881149686058","-0.7577643441973123","-0.8652161996333234","-0.8117631935815552","-0.8483454918505231","-0.7614471193292047","-0.5888962835142593","-0.5767527343468828","-0.7157089689571876","-0.6888592411833088","-0.47238670892875234","-0.5956513969276784"
"VOCS","County","MI","Monroe County","emissions (pounds)","-0.9772813838135335","-1.2273840788993766","-1.3237544095391058","-1.254961507275766","-1.322293354573958","-1.1162208444675343","-0.7965542209904015","-0.786162798368423","-0.9989997381590001","-1.1578509665750971","-0.7045535880042735","-0.8775668336020317"
"NH3","County","MI","Monroe County","emissions (pounds)","-0.01822803859951705","-0.01914277594552516","-0.023010464376199025","-0.02090164643057335","-0.023309517024003412","-0.02043671042262929","-0.01656921567339964","-0.016188858838233955","-0.019943409153810876","-0.017686232057371853","-0.012768615431966168","-0.015940832263567017"
"SO2","County","MI","Monroe County","percent","-0.017454467740838114","-0.022256572693862525","-0.022651670156668097","-0.022820947685556533","-0.024605434952913854","-0.022335953902244403","-0.020052940559786635","-0.018100852280339523","-0.021025006854151963","-0.02072192434235286","-0.012478055613916031","-0.014870610918027086"
"NOX","County","MI","Monroe County","percent","-0.01388681210090655","-0.01825019327731513","-0.0161488992126294","-0.009648447522117111","-0.02140888811122311","-0.017203052370710313","-0.011738660251530062","-0.011658266832581312","-0.01697012412743402","-0.011042768373077567","-0.007633948416405447","-0.012086551487401188"
"CO2","County","MI","Monroe County","percent","-0.013316192478282736","-0.017022326988862788","-0.01965849195747872","-0.020261136319898978","-0.02085113967923947","-0.016332926244517022","-0.01096988217515341","-0.01114232191536718","-0.015588992029822541","-0.017259084678860982","-0.011033882873397833","-0.013372648155632091"
"PM25","County","MI","Monroe County","percent","-0.013196290883310072","-0.016996362846994833","-0.01925974385849821","-0.020681663433808378","-0.01967638912306771","-0.01631064215938538","-0.010603579072856487","-0.010924985442874258","-0.015307360477769625","-0.0164331505559175","-0.010969034033308485","-0.01351940925857488"
"VOCS","County","MI","Monroe County","percent","-0.013200890748346884","-0.018817156841610318","-0.02044396882454925","-0.0224951403924689","-0.021368074390663776","-0.01654766183637563","-0.009938701142911103","-0.0103135737120982","-0.014795861788647998","-0.019314944960240842","-0.01137448896775304","-0.013804140724767903"
"NH3","County","MI","Monroe County","percent","-0.013537055980690446","-0.01619139259324136","-0.01922316251773886","-0.0198926933401616","-0.020232142882043266","-0.016405710139556978","-0.01114299262506084","-0.011467054179817426","-0.015977181085407306","-0.015789623564249445","-0.011121464281960713","-0.013582087066006377"
"SO2","County","MI","Montcalm County","emissions (pounds)","-0.06904970269442856","0.07103289920104316","-0.10907565412276199","-0.16603202501718783","-0.10427805988052796","-0.4469701577375531","-0.947591006264247","-0.7434444857666449","-0.3525586863691501","-0.09291653411213474","-0.08655938874824187","-0.047772379710977475"
"NOX","County","MI","Montcalm County","emissions (pounds)","-6.006905854210345","4.416479143506876","-8.410086577881884","-13.814416860492202","-7.290357185236644","-37.178607945159456","-74.5196038246213","-58.68722198961041","-29.35493135660363","-7.438886804644426","-6.528757670188497","-4.282398846142314"
"CO2","County","MI","Montcalm County","emissions (tons)","-7.134689243299363","5.93873871364849","-10.028330955636193","-17.724865933290857","-9.122246399238065","-45.07529213491216","-92.96853589898092","-72.84744436846813","-35.54973371576489","-8.513317940443812","-7.978878237478057","-5.283535678419867"
"PM25","County","MI","Montcalm County","emissions (pounds)","-0.7302757710826882","0.5337658473263218","-0.9490274367021811","-1.7734361123539202","-0.8580575626078826","-4.304445316056899","-8.942118605325959","-7.013267195809021","-3.4012568944503982","-0.8114866348578289","-0.780046873849642","-0.5394253484300862"
"VOCS","County","MI","Montcalm County","emissions (pounds)","-1.8365939980576513","1.3423848775537408","-2.3867395896841117","-4.460071453594537","-2.15795653074656","-10.825387812965346","-22.488821361275768","-17.63789098381494","-8.55393023500983","-2.040833808388925","-1.9617649433803308","-1.356618138711383"
"NH3","County","MI","Montcalm County","emissions (pounds)","-0.788022680411359","0.6583640357926015","-1.1032811897925967","-1.9635431603769575","-1.0080429921931682","-4.987817839697527","-10.294897419427798","-8.063252050117626","-3.929657076198964","-0.933313417273439","-0.8843484615135822","-0.5851130786900285"
"SO2","County","MI","Montcalm County","percent","-0.018121623332319727","0.02410726982353136","-0.03949538445398188","-0.07547553096800831","-0.042809368504496924","-0.11591950645252824","-0.11628152336840523","-0.11183030257903612","-0.09137712027508198","-0.03584291857331289","-0.03292446770564149","-0.01793733930867443"
"NOX","County","MI","Montcalm County","percent","-0.020366592442248636","0.019329419464042062","-0.04012906218344767","-0.0847120451363055","-0.03431123141240955","-0.11343416884191984","-0.11003290726055491","-0.10584399828109795","-0.08923760244318674","-0.03824317430545188","-0.03287806548582594","-0.021141173978272414"
"CO2","County","MI","Montcalm County","percent","-0.019709883127802696","0.021219927842002138","-0.038949408795981084","-0.08803351957494289","-0.0356138571351228","-0.1137341996750924","-0.11288491974973437","-0.10814715557650176","-0.08947205401629305","-0.03548551181973051","-0.032654990668464","-0.02125690134405614"
"PM25","County","MI","Montcalm County","percent","-0.021111267334397506","0.020035181072938564","-0.03883454862110758","-0.09302807061911864","-0.03542272756667201","-0.11446873181834372","-0.11379923322535027","-0.10925509832071573","-0.09027382355590721","-0.0355818307529934","-0.033654725693651036","-0.022875953029737172"
"VOCS","County","MI","Montcalm County","percent","-0.02111126733455259","0.020035181072628395","-0.03883454862118975","-0.09302807061893809","-0.03542272756648855","-0.11446873181838746","-0.11379923322539132","-0.10925509832050433","-0.09027382355598532","-0.03558183075299113","-0.033654725693761364","-0.02287595302956733"
"NH3","County","MI","Montcalm County","percent","-0.019682147386516895","0.021266314597765082","-0.03874306753777463","-0.08817334390442506","-0.03555662870595666","-0.11372157303576853","-0.11294968828304128","-0.10816854593141924","-0.08936446490525535","-0.03517710974458561","-0.03272266632270205","-0.021284116999674314"
